"Characteristic","Number (\%)"
"\textbf{Baseline covariates (months -6 to 0)}","0 (NaN\%)"
"Age","39 (29, 50)"
"Sex","0 (NaN\%)"
"\hspace{0.5cm}Male","203989 (38.9\%)"
"\hspace{0.5cm}Female","321013 (61.1\%)"
"Race/ethnicity:","0 (NaN\%)"
"\hspace{0.5cm}White, non-Hispanic","217871 (49.8\%)"
"\hspace{0.5cm}AIAN, non-Hispanic","8129 (1.9\%)"
"\hspace{0.5cm}Asian, non-Hispanic","34926 (8\%)"
"\hspace{0.5cm}Black, non-Hispanic","78668 (18\%)"
"\hspace{0.5cm}Hawaiian/Pacific Islander","3356 (0.8\%)"
"\hspace{0.5cm}Hispanic, all races","94202 (21.5\%)"
"\hspace{0.5cm}Multiracial, non-Hispanic","280 (0.1\%)"
"\hspace{0.5cm}Unknown","87570 (16.7\%)"
"Primary language English","390326 (86.2\%)"
"\hspace{0.5cm}Unknown","72373 (13.8\%)"
"Married/partnered","37495 (20.5\%)"
"\hspace{0.5cm}Unknown","342121 (65.2\%)"
"Household size:","0 (NaN\%)"
"\hspace{0.5cm}1","92806 (62.6\%)"
"\hspace{0.5cm}2","19515 (13.2\%)"
"\hspace{0.5cm}$\geq$ 3","36030 (24.3\%)"
"\hspace{0.5cm}Unknown","376651 (71.7\%)"
"Veteran","668 (0.6\%)"
"\hspace{0.5cm}Unknown","411808 (78.4\%)"
"High income ($>$ 138FPL)","13710 (2.6\%)"
"TANF Benefits","51445 (12.6\%)"
"\hspace{0.5cm}Unknown","116694 (22.2\%)"
"SSI benefits:","0 (NaN\%)"
"\hspace{0.5cm}Mandatory or optional","8142 (3.8\%)"
"\hspace{0.5cm}Not applicable","207842 (96.2\%)"
"\hspace{0.5cm}Unknown","309018 (58.9\%)"
"Psychiatric conditions \& counseling:","0 (NaN\%)"
"\hspace{0.5cm}ADHD","6974 (1.3\%)"
"\hspace{0.5cm}Anxiety","65772 (12.5\%)"
"\hspace{0.5cm}Bipolar","15423 (2.9\%)"
"\hspace{0.5cm}Depression","49802 (9.5\%)"
"\hspace{0.5cm}Other mental illness","24600 (4.7\%)"
"\hspace{0.5cm}Mental health counseling","35201 (6.7\%)"
"Alcohol use disorder","12447 (2.4\%)"
"Other drug use disorder (non-opioid)","38214 (7.3\%)"
"\textbf{Healthcare Utilization}","0 (NaN\%)"
"Emergency department","0 (NaN\%)"
"\hspace{0.5cm}0","389469 (74.2\%)"
"\hspace{0.5cm}1-2","120201 (22.9\%)"
"\hspace{0.5cm}3+","15332 (2.9\%)"
"Inpatient hospitalizations","0 (NaN\%)"
"\hspace{0.5cm}0","514243 (98\%)"
"\hspace{0.5cm}1+","10759 (2\%)"
"Outpatient visits","0 (NaN\%)"
"\hspace{0.5cm}0","6788 (1.3\%)"
"\hspace{0.5cm}1-25","498346 (94.9\%)"
"\hspace{0.5cm}26+","19868 (3.8\%)"
