"Characteristic","Number (\%)"
"\textbf{Treatments (month 1)}","0 (NaN\%)"
"Acetaminophen","26485 (5\%)"
"Anti-inflammatory","306165 (58.3\%)"
"Benzodiazepine","41915 (8\%)"
"Chiropractic","52973 (10.1\%)"
"Duloxetine","7292 (1.4\%)"
"Gabapentin","47529 (9.1\%)"
"Intervention","8742 (1.7\%)"
"Muscle relaxant","229522 (43.7\%)"
"Massage therapy","45355 (8.6\%)"
"Physical therapy","82997 (15.8\%)"
"Spinal cord stimulation","52 (0\%)"
"Steroid","81279 (15.5\%)"
"Opioid","106200 (20.2\%)"
"\hspace{0.5cm}$\le7$ days, $\le50$ MME","67648 (12.9\%)"
"\hspace{0.5cm}$>7$ days, $\le50$ MME","25758 (4.9\%)"
"\hspace{0.5cm}$>50$ MME","12794 (2.4\%)"
"\textbf{Outcomes (months 2-13)}","0 (NaN\%)"
"OUD by 7 months","6553 (1.5\%)"
"OUD by 13 months","8327 (2.4\%)"
"\textbf{Censoring}","0 (NaN\%)"
"Uncensored through 7 months","433777 (82.6\%)"
"Uncensored through 13 months","343434 (65.4\%)"
