"Characteristic","Number (\%)"
"\textbf{Treatments (months 7-12)}","304201.707596928 (0.01\%)"
"Max daily dose (MME)","35.06 (20, 60)"
"Proportion of opioid days","0.08 (0.02, 0.45)"
"Distinct Prescribers","1 (1, 2)"
"Tapering","0 (NA\%)"
"Co-prescription:","494 (1.6\%)"
"\hspace{0.5cm}Benzodiazepine","112 (0.36\%)"
"\hspace{0.5cm}Stimulant","1566 (5.07\%)"
"\hspace{0.5cm}Muscle relaxant","1321 (4.28\%)"
"\hspace{0.5cm}Gabapentinoid","0 (NA\%)"
"Non-opioid prescription for pain:","12916 (41.83\%)"
"\hspace{0.5cm}Any","2183 (7.07\%)"
"\hspace{0.5cm}Other analgesic and antipyretic","6741 (21.83\%)"
"\hspace{0.5cm}Antidepressant","8353 (27.05\%)"
"\hspace{0.5cm}Antiinflammatory and antirheumatic","814 (2.64\%)"
"\hspace{0.5cm}Topical","5276 (17.08\%)"
"Physical therapy","0 (NA\%)"
"Multimodal pain treatment:","5886 (19.06\%)"
"\hspace{0.5cm}Any","199 (0.64\%)"
"\hspace{0.5cm}Ablative techniques","269 (0.87\%)"
"\hspace{0.5cm}Acupuncture","774 (2.51\%)"
"\hspace{0.5cm}Blocks","73 (0.24\%)"
"\hspace{0.5cm}Botulinum toxin injection","1582 (5.12\%)"
"\hspace{0.5cm}Chiropractic","176 (0.57\%)"
"\hspace{0.5cm}Electrical nerve stimulation","1055 (3.42\%)"
"\hspace{0.5cm}Epidural steroid","12 (0.04\%)"
"\hspace{0.5cm}Intrathecal drug therapy","2985 (9.67\%)"
"\hspace{0.5cm}Massage therapy","358 (1.16\%)"
"\hspace{0.5cm}Trigger point injection","0 (NA\%)"
"\textbf{Outcomes (months 13-24)}","72 (0.24\%)"
"OUD by 24 months","64 (0.21\%)"
"OUD (ICD only) by 24 months","0 (NA\%)"
"\textbf{Censoring:}","30245 (97.94\%)"
"Uncensored throughout entire study period","0 (NA\%)"
