"Characteristic","Number (\%)"
"\textbf{Treatments (months 7-12)}","0 (NaN\%)"
"Max daily dose (MME)","25 (10, 40)"
"Days supply","5 (2, 30)"
"Distinct Prescribers","1 (0, 1)"
"Co-prescription:","0 (NaN\%)"
"\hspace{0.5cm}Benzodiazepine","3443 (0.22\%)"
"\hspace{0.5cm}Muscle relaxant","4160 (0.26\%)"
"\hspace{0.5cm}Gabapentinoid","5423 (0.34\%)"
"Non-opioid prescription for pain:","0 (NaN\%)"
"\hspace{0.5cm}Any","453343 (28.69\%)"
"\hspace{0.5cm}Other analgesic and antipyretic","116763 (7.39\%)"
"\hspace{0.5cm}Antidepressant","121916 (7.71\%)"
"\hspace{0.5cm}Antiinflammatory and antirheumatic","266421 (16.86\%)"
"\hspace{0.5cm}Topical","17996 (1.14\%)"
"Physical therapy","290165 (18.36\%)"
"Acupuncture","11181 (0.71\%)"
"Chiropractic","19438 (1.23\%)"
"Epidural steroid","105787 (6.69\%)"
"Massage therapy","20570 (1.3\%)"
"Trigger point injection","159175 (10.07\%)"
"Blocks","15675 (0.99\%)"
"Other non-pharmaceutical pain treatment","16458 (1.04\%)"
"\textbf{Outcomes (months 13-24)}","0 (NaN\%)"
"OUD by 24 months","27688 (2.53\%)"
"OUD (ICD only) by 24 months","26523 (2.43\%)"
"\textbf{Censoring}","0 (NaN\%)"
"Uncensored (OUD) throughout entire study period","1069697 (68.72\%)"
"Uncensored (OUD ICD-only) throughout entire study period","1070510 (68.73\%)"
