"Characteristic","Number (\%)"
"\textbf{Treatments (month 1)}","0 (NaN\%)"
"Acetaminophen","12290 (4.7\%)"
"Anti-inflammatory","126794 (49\%)"
"Benzodiazepine","10687 (4.1\%)"
"Chiropractic","25749 (9.9\%)"
"Gabapentinoids","15738 (6.1\%)"
"Intervention","4864 (1.9\%)"
"Muscle relaxant","120855 (46.7\%)"
"Massage therapy","25096 (9.7\%)"
"Physical therapy","44958 (17.4\%)"
"Steroid","40204 (15.5\%)"
"Opioid","52560 (20.3\%)"
"\hspace{0.5cm}$\le7$ days, $\le50$ MME","35022 (13.5\%)"
"\hspace{0.5cm}$>7$ days, $\le50$ MME","11859 (4.6\%)"
"\hspace{0.5cm}$>50$ MME","5679 (2.2\%)"
"Other treatment","4407 (1.7\%)"
"\textbf{Outcomes (months 2-13)}","0 (NaN\%)"
"OUD or overdose by 7 months","2197 (1.1\%)"
"OUD or overdose by 13 months","2569 (1.8\%)"
"\textbf{Censoring}","0 (NaN\%)"
"Uncensored through 7 months","196578 (75.9\%)"
"Uncensored through 13 months","144052 (55.6\%)"
