"Characteristic","Number (\%)"
"\textbf{Treatments (months 7-12)}","0 (NaN\%)"
"Opioid","318431 (38.58\%)"
"Duloxetine","13005 (1.58\%)"
"Anti-inflammatory","232026 (28.11\%)"
"Muscle relaxant","61878 (7.5\%)"
"Physical therapy","256316 (31.05\%)"
"Intervention","32867 (3.98\%)"
"Benzodiazepine","49983 (6.06\%)"
"Chiropractic","101441 (12.29\%)"
"Acupuncture","10533 (1.28\%)"
"Blocks","12135 (1.47\%)"
"Gabapentin","42464 (5.14\%)"
"Max MME","30 (20, 50)"
"Days supply","5 (3, 22)"
