"Characteristic","Number (\%)"
"\textbf{Treatments (months 7-12)}","0 (NaN\%)"
"Opioid","61397 (74.93\%)"
"Duloxetine","2111 (2.58\%)"
"Anti-inflammatory","18068 (22.05\%)"
"Muscle relaxant","6644 (8.11\%)"
"Physical therapy","11607 (14.17\%)"
"Intervention","3903 (4.76\%)"
"Benzodiazepine","9201 (11.23\%)"
"Chiropractic","3986 (4.86\%)"
"Acupuncture","424 (0.52\%)"
"Blocks","1809 (2.21\%)"
"Gabapentin","9599 (11.71\%)"
"Max MME","NA (NA\%)"
"Days supply","NA (NA\%)"
