"Characteristic","Number (\%)"
"\textbf{Treatments (months 7-12)}","0 (NaN\%)"
"Opioid","257034 (34.57\%)"
"Duloxetine","10894 (1.47\%)"
"Anti-inflammatory","213958 (28.78\%)"
"Muscle relaxant","55234 (7.43\%)"
"Physical therapy","244709 (32.91\%)"
"Intervention","28964 (3.9\%)"
"Benzodiazepine","40782 (5.48\%)"
"Chiropractic","97455 (13.11\%)"
"Acupuncture","10109 (1.36\%)"
"Blocks","10326 (1.39\%)"
"Gabapentin","32865 (4.42\%)"
"Max MME","NA (NA\%)"
"Days supply","NA (NA\%)"
