"Characteristic","Number (\%)"
"\textbf{Treatments (month 1)}","0 (NaN\%)"
"Acetaminophen","18088 (4.5\%)"
"Anti-inflammatory","193098 (48.4\%)"
"Benzodiazepine","16698 (4.2\%)"
"Chiropractic","40763 (10.2\%)"
"Gabapentinoids","23147 (5.8\%)"
"Intervention","7595 (1.9\%)"
"Muscle relaxant","178532 (44.8\%)"
"Massage therapy","36137 (9.1\%)"
"Physical therapy","65143 (16.3\%)"
"Steroid","60849 (15.3\%)"
"Opioid","83626 (21\%)"
"\hspace{0.5cm}$\le7$ days, $\le50$ MME","54437 (13.7\%)"
"\hspace{0.5cm}$>7$ days, $\le50$ MME","19640 (4.9\%)"
"\hspace{0.5cm}$>50$ MME","9549 (2.4\%)"
"Other treatment","7073 (1.8\%)"
"\textbf{Outcomes (months 2-13)}","0 (NaN\%)"
"OUD or overdose by 7 months","4293 (1.4\%)"
"OUD or overdose by 13 months","5062 (2.3\%)"
"Chronic LBP by 13 months","26937 (12.1\%)"
"\textbf{Censoring}","0 (NaN\%)"
"Uncensored through 7 months","301199 (75.5\%)"
"Uncensored through 13 months","223457 (56\%)"
