"Characteristic","Number (\%)"
"\textbf{Baseline covariates (months -6 to 0)}","0 (NaN\%)"
"Age","39 (30, 50)"
"Sex","0 (NaN\%)"
"\hspace{0.5cm}Male","161654 (40.5\%)"
"\hspace{0.5cm}Female","237846 (59.5\%)"
"Race/ethnicity:","0 (NaN\%)"
"\hspace{0.5cm}AIAN, non-Hispanic","6443 (1.9\%)"
"\hspace{0.5cm}Asian, non-Hispanic","27311 (8\%)"
"\hspace{0.5cm}Black, non-Hispanic","62377 (18.2\%)"
"\hspace{0.5cm}Hawaiian/Pacific Islander","2757 (0.8\%)"
"\hspace{0.5cm}Hispanic, all races","72846 (21.2\%)"
"\hspace{0.5cm}Multiracial, non-Hispanic","303 (0.1\%)"
"\hspace{0.5cm}White, non-Hispanic","171487 (49.9\%)"
"\hspace{0.5cm}Missing","55976 (14\%)"
"Primary language English","319420 (87.1\%)"
"\hspace{0.5cm}Missing","32627 (8.2\%)"
"Married/partnered","29090 (20.7\%)"
"\hspace{0.5cm}Missing","258854 (64.8\%)"
"Household size:","0 (NaN\%)"
"\hspace{0.5cm}1","71585 (63\%)"
"\hspace{0.5cm}2","14687 (12.9\%)"
"\hspace{0.5cm}$\geq$ 3","27389 (24.1\%)"
"\hspace{0.5cm}Missing","285839 (71.5\%)"
"Veteran","665 (0.6\%)"
"\hspace{0.5cm}Missing","287918 (72.1\%)"
"High income ($>$ 138FPL)","9114 (2.3\%)"
"TANF Benefits","39327 (12.7\%)"
"\hspace{0.5cm}Missing","90480 (22.6\%)"
"SSI benefits:","0 (NaN\%)"
"\hspace{0.5cm}Mandatory or optional","5326 (3.3\%)"
"\hspace{0.5cm}Not applicable","157725 (96.7\%)"
"\hspace{0.5cm}Missing","236449 (59.2\%)"
"Psychiatric conditions \& counseling:","0 (NaN\%)"
"\hspace{0.5cm}ADHD","5250 (1.3\%)"
"\hspace{0.5cm}Anxiety","45168 (11.3\%)"
"\hspace{0.5cm}Bipolar","10870 (2.7\%)"
"\hspace{0.5cm}Depression","35724 (8.9\%)"
"\hspace{0.5cm}Other mental illness","17998 (4.5\%)"
"\hspace{0.5cm}Mental health counseling","26477 (6.6\%)"
"Alcohol use disorder","9455 (2.4\%)"
"Other drug use disorder (non-opioid)","28670 (7.2\%)"
"\textbf{Healthcare Utilization}","0 (NaN\%)"
"Emergency department","0 (NaN\%)"
"\hspace{0.5cm}0","300705 (75.3\%)"
"\hspace{0.5cm}1-2","88674 (22.2\%)"
"\hspace{0.5cm}3+","10121 (2.5\%)"
"Inpatient hospitalizations","0 (NaN\%)"
"\hspace{0.5cm}0","394694 (98.8\%)"
"\hspace{0.5cm}1+","4806 (1.2\%)"
"Outpatient visits","0 (NaN\%)"
"\hspace{0.5cm}0","81107 (20.3\%)"
"\hspace{0.5cm}1-20","307308 (76.9\%)"
"\hspace{0.5cm}21+","11085 (2.8\%)"
