"Characteristic","Number (\%)"
"\textbf{Treatments (month 1)}","0 (NaN\%)"
"Acetaminophen","18103 (4.5\%)"
"Anti-inflammatory","193514 (48.4\%)"
"Benzodiazepine","16765 (4.2\%)"
"Chiropractic","40756 (10.2\%)"
"Gabapentinoids","23228 (5.8\%)"
"Intervention","7627 (1.9\%)"
"Muscle relaxant","179029 (44.8\%)"
"Massage therapy","36239 (9.1\%)"
"Physical therapy","65305 (16.3\%)"
"Steroid","60951 (15.3\%)"
"Opioid","83855 (21\%)"
"\hspace{0.5cm}$\le7$ days, $\le50$ MME","54595 (13.7\%)"
"\hspace{0.5cm}$>7$ days, $\le50$ MME","19672 (4.9\%)"
"\hspace{0.5cm}$>50$ MME","9588 (2.4\%)"
"Other treatment","6457 (1.6\%)"
"\textbf{Outcomes (months 2-13)}","0 (NaN\%)"
"OUD or overdose by 7 months","4317 (1.4\%)"
"OUD or overdose by 13 months","5084 (2.3\%)"
"Chronic LBP by 13 months","27000 (12\%)"
"\textbf{Censoring}","0 (NaN\%)"
"Uncensored through 7 months","302139 (75.6\%)"
"Uncensored through 13 months","224166 (56.1\%)"
