"Characteristic","Number (\%)"
"\textbf{Treatments (months 1-3)}","0 (NaN\%)"
"Acetaminophen","25032 (4.9\%)"
"Anti-inflammatory","297715 (58.1\%)"
"Benzodiazepine","39815 (7.8\%)"
"Chiropractic","52827 (10.3\%)"
"Duloxetine","7160 (1.4\%)"
"Gabapentin","46502 (9.1\%)"
"Intervention","8590 (1.7\%)"
"Muscle relaxant","223928 (43.7\%)"
"Massage therapy","44978 (8.8\%)"
"Physical therapy","81984 (16\%)"
"Spinal cord stimulation","51 (0\%)"
"Steroid","79421 (15.5\%)"
"Opioid","100704 (19.7\%)"
"\hspace{0.5cm}$\le7$ days, $\le50$ MME","63427 (12.4\%)"
"\hspace{0.5cm}$>7$ days, $\le50$ MME","25173 (4.9\%)"
"\hspace{0.5cm}$>50$ MME","12104 (2.4\%)"
"\textbf{Outcomes (months 3-15)}","0 (NaN\%)"
"OUD by 9 months","6171 (1.5\%)"
"OUD by 15 months","7919 (2.4\%)"
"\textbf{Censoring}","0 (NaN\%)"
"Uncensored through 9 months","423987 (82.7\%)"
"Uncensored through 15 months","336497 (65.7\%)"
