"Characteristic","Number (\%)"
"\textbf{Treatments (months 1-3)}","0 (NaN\%)"
"Acetaminophen","30890 (5.9\%)"
"Anti-inflammatory","319849 (60.9\%)"
"Benzodiazepine","49226 (9.4\%)"
"Chiropractic","54471 (10.4\%)"
"Duloxetine","8920 (1.7\%)"
"Gabapentin","55070 (10.5\%)"
"Intervention","13426 (2.6\%)"
"Muscle relaxant","238559 (45.4\%)"
"Massage therapy","55078 (10.5\%)"
"Physical therapy","97712 (18.6\%)"
"Spinal cord stimulation","89 (0\%)"
"Steroid","93604 (17.8\%)"
"Opioid","119998 (22.9\%)"
"\hspace{0.5cm}$\le7$ days, $\le50$ MME","70872 (13.5\%)"
"\hspace{0.5cm}$>7$ days, $\le50$ MME","32203 (6.1\%)"
"\hspace{0.5cm}$>50$ MME","16923 (3.2\%)"
"\textbf{Outcomes (months 4-15)}","0 (NaN\%)"
"OUD or overdose by 9 months","7402 (1.8\%)"
"OUD or overdose by 15 months","8631 (2.7\%)"
"\textbf{Censoring}","0 (NaN\%)"
"Uncensored through 9 months","404253 (77.3\%)"
"Uncensored through 15 months","317394 (60.7\%)"
