"Characteristic","Number (\%)"
"\textbf{Treatments (months 1-3)}","0 (NaN\%)"
"Acetaminophen","26572 (5.1\%)"
"Anti-inflammatory","303111 (57.7\%)"
"Benzodiazepine","40647 (7.7\%)"
"Chiropractic","53033 (10.1\%)"
"Duloxetine","7245 (1.4\%)"
"Gabapentin","47047 (9\%)"
"Intervention","10630 (2\%)"
"Muscle relaxant","228797 (43.6\%)"
"Massage therapy","45816 (8.7\%)"
"Physical therapy","85663 (16.3\%)"
"Spinal cord stimulation","73 (0\%)"
"Steroid","82697 (15.8\%)"
"Opioid","107923 (20.6\%)"
"\hspace{0.5cm}$\le7$ days, $\le50$ MME","66923 (12.7\%)"
"\hspace{0.5cm}$>7$ days, $\le50$ MME","26970 (5.1\%)"
"\hspace{0.5cm}$>50$ MME","14030 (2.7\%)"
"\textbf{Outcomes (months 4-15)}","0 (NaN\%)"
"OUD or overdose by 9 months","7402 (1.8\%)"
"OUD or overdose by 15 months","8631 (2.7\%)"
"\textbf{Censoring}","0 (NaN\%)"
"Uncensored through 9 months","404253 (77.3\%)"
"Uncensored through 15 months","317394 (60.7\%)"
